Family	Known Compounds
Phyllostictaceae	123
Elaeocarpaceae	122
Latrunculiidae	122
Pandanaceae	121
Saccharomycetaceae	121
Ephedraceae	120
Suillaceae	120
Psathyrellaceae	117
Rhodobacteraceae	116
Picramniaceae	113
Ulvaceae	113
Marasmiaceae	112
Achariaceae	111
Rhizobiaceae	111
Caulerpaceae	110
Ianthellidae	110
Blechnaceae	109
Costaceae	109
Heteroxyidae	109
Paenibacillaceae	109
Pseudoalteromonadaceae	109
Ramalinaceae	109
Sporormiaceae	108
Hylidae	107
Albatrellaceae	106
Begoniaceae	106
Helotiaceae	106
Icacinaceae	106
Lobariaceae	106
Bankeraceae	105
Isididae	105
Mycobacteriaceae	104
Hygrophoraceae	103
Hymedesmiidae	103
Eriocaulaceae	102
Phanerochaetaceae	102
Anastrophyllaceae	101
Plectosphaerellaceae	101
Pleurotaceae	101
Valsaceae	101
Calypogeiaceae	100
Apiosporaceae	99
Lachnaceae	99
Violaceae	99
Bixaceae	98
Balsaminaceae	97
Altingiaceae	96
Aytoniaceae	96
Staphylococcaceae	96
Gymnoascaceae	95
Ritterellidae	95
Sordariaceae	95
Resedaceae	94
Eucommiaceae	93
Lessoniaceae	93
Muntingiaceae	93
Periconiaceae	93
Ulmaceae	93
Alcaligenaceae	91
Molluginaceae	91
Pentaphylacaceae	91
Podospongiidae	91
Schizosaccharomycetaceae	91
Mytilidae	90
Tapinellaceae	90
Krameriaceae	89
Debaryomycetaceae	88
Caricaceae	87
Pontederiaceae	87
Putranjivaceae	87
Vibrionaceae	87
Haemodoraceae	86
Hydrocharitaceae	85
Onygenaceae	85
Moringaceae	83
Acarnidae	82
Actinomycetaceae	81
Cyphellaceae	81
Lophocoleaceae	81
Udoteaceae	80
Cerambycidae	79
Dermateaceae	79
Dictyonellidae	79
Calycanthaceae	78
Pseudodistomidae	78
Sciadopityaceae	78
Anthothelidae	77
Winteraceae	77
Bugulidae	76
Aplysinellidae	75
Commelinaceae	75
Cucumariidae	75
Davalliaceae	75
Radulaceae	75
Stereocaulaceae	75
Typhaceae	75
Rhizopodaceae	74
Amanitaceae	73
Staphyleaceae	73
Clionaidae	72
Cyrenidae	72
Aspleniaceae	71
Atherospermataceae	71
Conocephalaceae	71
Flustridae	71
Lyophyllaceae	71
Physciaceae	71
Calceolariaceae	70
Chlorellaceae	70
Monimiaceae	70
Rhodospirillaceae	70
Gloeophyllaceae	69
Bombycidae	68
Cynomoriaceae	68
Esperiopsidae	68
Herpotrichiellaceae	68
Loasaceae	68
Musaceae	68
Nothofagaceae	68
Dictyodendrillidae	67
Microcionidae	67
Nymphalidae	67
Pectinidae	67
Phrymaceae	67
Siparunaceae	67
Ascidiidae	66
Coniothyriaceae	66
Fucaceae	66
Goodeniaceae	66
Nyssaceae	66
Oreasteridae	66
Pelliaceae	66
Raspailiidae	66
Subergorgiidae	66
Leucettidae	65
Massarinaceae	65
Meripilaceae	65
Tuberaceae	65
Chondropsidae	64
Cytophagaceae	64
Magnaporthaceae	64
Picrodendraceae	64
Vesiculariidae	64
Holothuriidae	63
Ophiostomataceae	63
Sabiaceae	63
Dendrodorididae	62
Dumortieraceae	62
Acanthasteridae	61
Artemiidae	61
Cyatheaceae	61
Erwiniaceae	61
Gerridae	61
Plakobranchidae	61
Siphonariidae	61
Graphidaceae	60
Platanaceae	60
Spirastrellidae	60
Acanthogorgiidae	59
Bryaceae	59
Dothioraceae	59
Ostreidae	59
Termitidae	59
Goniasteridae	58
Laminariaceae	58
Lecanoraceae	58
Melanopsaceae	58
Ophioglossaceae	58
Pyuridae	58
Haminoeidae	57
Mycoplasmataceae	57
Stilbaceae	57
Alstroemeriaceae	56
Austrobaileyaceae	56
Coccinellidae	56
Cycadaceae	56
Salviniaceae	55
Dipodascaceae	54
Onocleaceae	54
Petiveriaceae	54
Psilotaceae	54
Tethyidae	54
Thelephoraceae	54
Bangiaceae	53
Chondrosiidae	53
Gonyaulacaceae	52
Stachyuraceae	52
Trichiidae	52
Hyphomicrobiaceae	51
Potamogetonaceae	51
Vulcanellidae	51
Asterinidae	50
Casuarinaceae	50
